,ean,ctr
489,05909991187682,0
490,05909990186525,0
491,05909990186518,0
492,05909990925513,0
493,05909991097066,0
494,05909991097073,0
495,05909991335663,0
496,05909991335670,0
497,05909990008469,0
498,05909991310769,0
499,05909991310776,0
500,05909991376772,0
501,05909991376789,0
502,05909991422356,0
503,05909991422363,0
504,05909990574315,0
505,05909990193219,0
506,05909991265762,0
507,05909991447311,0
508,05909990884216,0
509,05909991066529,0
510,05909991066420,0
511,05909991152017,0
512,05909991151911,0
513,05909991015114,0
514,05909991015015,0
515,05909990633852,0
516,05909990633791,0
517,05909991097523,0
518,05909991097554,0
519,05909991097400,0
520,05909991097448,0
521,05909991197049,0
522,05909991197056,0
523,05909991197070,0
524,05909991197063,0
525,05909990633869,0
526,05909990633807,0
527,05909990865024,0
528,05909990874194,0
529,05906414000900,0
530,05909991379483,0
531,05909991379490,0
532,05909990677733,0
533,05907553017897,0
534,05909990570546,0
535,05909990974641,0
536,05909990869114,0
537,05909991250386,0
538,05909991223571,0
539,05909991223588,0
540,05909991272234,0
541,05909991272333,0
542,05909990211913,0
543,05909991306137,0
545,05909991306144,0
547,05909991306151,0
549,05909991283629,0
551,05909991283650,0
553,05909991283698,0
555,05909990337354,0
557,05909990337323,0
559,05909990337286,0
561,05909991223793,0
563,05909991204082,0
565,05909991223809,0
567,05909991203986,0
569,05909990335169,0
571,05909990335176,0
573,05906414002522,0
575,05906414002539,0
577,05909991205966,0
579,05909990430314,0
580,05909990926213,0
582,05909990926312,0
584,05909991107925,0
586,05909991005696,0
588,05909991005733,0
590,05909990445615,0
592,05909990445714,0
594,05909991233099,0
596,05909991269784,0
598,05909990445813,0
600,05909990677313,0
602,05909990677412,0
604,05909990335183,0
606,05909990335190,0
608,07613421020866,0
609,05907626709476,0
610,07613421047047,0
611,05909991137458,0
612,05909991137625,0
613,05000456011648,0
614,05909990873074,0
615,05909990873241,0
616,05909990872886,0
617,05909991136932,0
618,05909991136963,0
619,05909991235635,0
621,05909991235642,0
623,05909990938056,0
625,05909990938087,0
627,05909990938131,0
629,05909990966127,0
631,05909990966226,0
633,05909990966325,0
635,05909997213538,0
636,05909997201450,0
637,05909990073603,0
638,05909990073597,0
639,05909990277919,0
640,05901549565249,0
641,05901549565256,0
642,05909990948376,0
643,05909990948383,0
644,05909990979738,0
645,03830070472080,0
646,03830070472097,0
647,05909991283599,0
648,05909991441029,0
649,05909991409999,0
650,05909991096106,0
651,05909991433109,0
652,05909991466602,0
653,05909991453398,0
654,05909991454883,0
655,05909991453329,0
656,05909991455057,0
657,05909991454890,0
658,05909991453336,0
659,05909991455064,0
660,05909990937196,0
661,05909991454777,0
662,05909991453367,0
663,05909991455118,0
664,05909991448912,0
665,05909991438876,0
666,05909990937103,0
667,05909990962945,0
668,05909990962839,0
669,05909991389468,0
670,05909991392475,0
671,05909990772193,0
672,05909991389475,0
673,05909991392482,0
674,05909991389512,0
675,05909991395100,0
676,05909991389420,0
677,05909991390242,0
678,05909990772162,0
679,05909991389437,0
680,05909991390259,0
681,05909990801350,0
682,05909990801367,0
683,03838989720544,0
684,05909991367732,0
685,05909991367510,0
686,05906414002140,0
687,05906414002171,0
688,05906414002089,0
689,05906414002119,0
690,05906414002027,0
691,05906414002058,0
692,05906414001969,0
693,05906414001990,0
694,05909991191832,0
695,05909991418076,0
696,05909991191764,0
697,05909991450014,0
698,05909991421649,0
699,05909991421656,0
700,05909990957279,0
701,05909990957194,0
702,05909991455361,0
703,05909991432300,0
704,05909991455378,0
705,05909991464011,0
706,05909991432324,0
707,05909991436667,0
708,05909991463908,0
709,05909991434977,0
710,05909991428112,0
711,05909990739653,0
712,05909990739707,0
713,05909990739592,0
714,05909990937172,0
715,05909990937264,0
716,05909990937080,0
717,05909990772209,0
718,05909990772230,0
719,05909990772179,0
720,05909990800629,0
721,05909991063702,0
722,05909991064051,0
723,05909990800360,0
724,05909991415907,0
725,05909990957255,0
726,05909991057596,0
727,05909991058609,0
728,05909990957170,0
729,05909990865178,0
730,05909990865185,0
731,05909991136840,0
732,05909990865222,0
733,05909990865260,0
734,05909990865130,0
735,05909990865147,0
736,05909991136833,0
737,05909990043910,0
739,05909991014117,0
741,05909991030315,0
743,05909991014216,0
745,05909991014223,0
747,05909990244515,0
749,05909990244614,0
751,05909990341917,0
753,05909990341924,0
755,05909990120215,0
757,05909990120116,0
759,05909991337056,0
760,05909991337155,0
761,05909991337230,0
762,05909990570430,0
763,05909990570409,0
764,05909990570454,0
765,05909990074099,0
766,05909990074129,0
767,05909990074051,0
768,05909990727148,0
769,05909990727193,0
770,05909990727100,0
771,05909991017019,0
772,05909991017118,0
773,05909991016814,0
774,05909991016913,0
775,05909990983315,0
776,05909990216505,0
777,05909990216567,0
778,05909990216604,0
779,05909990687909,0
780,05909990687930,0
781,05909990687862,0
782,05909990687879,0
783,05909990687886,0
784,05909990687893,0
785,05909990137411,0
786,05909990137428,0
787,05909990137510,0
788,05909990137527,0
789,05909990775910,0
790,05909990775927,0
791,05909990676514,0
792,05909990676613,0
793,05909990676620,0
794,05909990676712,0
795,05909990059515,0
796,05909990806812,0
797,05909990806911,0
798,05909990059416,0
799,05909990063840,0
800,05909990063857,0
801,05909990063697,0
802,05909990063703,0
803,05909991255145,0
804,05909991255152,0
805,05909991255183,0
806,05909991255190,0
807,05909991353469,0
808,05909991353483,0
809,05909991353490,0
810,05909991009229,0
811,05909991009212,0
812,05909991263331,0
813,05909991263355,0
814,05909991263362,0
815,05909991009120,0
816,05909991009113,0
817,05909991263386,0
818,05909991263409,0
819,05909991263416,0
820,05909991231194,0
821,05909991231217,0
822,05909990224951,0
823,05907626701753,0
824,05909991265328,0
825,05909990224456,0
826,05907626701760,0
827,05909990216383,0
828,05909991067946,0
829,05909990216390,0
830,05909991067953,0
831,05909990069927,0
832,05909990069828,0
833,05909990083213,0
834,05909990051342,0
835,05909990051335,0
836,05909997196350,0
837,05909991260071,0
838,05909990083312,0
839,05909990468812,0
840,05909997210605,0
841,05909991283575,0
842,05909991359331,0
843,05909997200118,0
844,05909997196077,0
845,05909991399290,0
846,05909990083411,0
847,05909991260095,0
848,05909991433093,0
849,05909991418212,0
850,05909991425203,0
851,05909990083435,0
852,05909991082932,0
853,05909991082949,0
854,05909991401641,0
855,05909990410729,0
856,05909990410736,0
857,05909990910793,0
858,05909990569441,0
859,05909991103811,0
860,05909991103835,0
861,05909990851119,0
862,05907695215250,0
863,05909990869725,0
864,05909990781515,0
865,05909991386672,0
866,05909991457020,0
867,05909990184736,0
868,05909990184637,0
869,05909990488926,0
870,05909990345618,0
871,05909991139582,0
872,05909990203017,0
874,05909990203116,0
876,05909990212064,0
877,05909990218530,0
878,05909990212057,0
879,05909990218523,0
880,05909990787463,0
881,05909990787289,0
882,05909990787357,0
883,05909990946624,0
884,05909991460679,0
885,05909990946716,0
886,05909990946426,0
887,05909990946525,0
888,05909990406111,0
889,05909990336814,0
890,05909990336913,0
891,05909990336616,0
892,05909990336715,0
893,05909990678648,0
894,05909990678655,0
895,05909990678679,0
896,05909990066667,0
897,05909990066780,0
898,05909990066803,0
899,05909990376612,0
900,05909990499113,0
901,05909990066414,0
902,05909990066216,0
903,05909990308514,0
904,05909990334964,0
905,05909990729012,0
906,05909991033514,0
907,05909991033613,0
908,05909991311230,0
909,05909991311285,0
910,05909990773626,0
911,05909990781010,0
912,05909991036546,0
913,05909990081165,0
914,05909990045532,0
915,05909990045549,0
916,05909990620654,0
917,05909990620647,0
918,05909990620678,0
919,05909990620661,0
920,05909991426453,0
921,05909991426446,0
922,05909991426477,0
923,05909991426491,0
924,05909990331727,0
925,05909990331710,0
926,05909990331819,0
927,05909990331826,0
928,05909990780624,0
929,05909990780631,0
930,05909990719419,0
931,05909991030117,0
932,05909990946075,0
933,05909990946198,0
934,05909991282776,0
935,05909991316761,0
936,05909991023416,0
937,05909991001438,0
938,05909991001520,0
939,05909991001537,0
940,05909991001544,0
941,05909991414207,0
942,05909990071210,0
943,05909990306435,0
944,05909990071111,0
945,05907626707397,0
946,05909990067510,0
947,05909997196497,0
948,05909997013800,0
949,05909990369928,0
950,05909990294916,0
951,05909990295012,0
952,05909990295111,0
953,05909990135615,0
954,05909990135516,0
955,05909990141012,0
956,05909991251949,0
957,05909991397005,0
958,05909990754748,0
959,05909991167011,0
960,05909990625826,0
961,05909990768141,0
962,05909991029388,0
963,05909990727667,0
964,05909990793730,0
965,05909990762729,0
966,05909990866533,0
967,05901878600475,0
968,05903792743382,0
969,05909991109219,0
970,05909990295715,0
971,05909991327736,0
972,05909991327705,0
973,05909991327606,0
974,05909990139521,0
975,05909990139422,0
976,05909991373443,0
977,05909991373467,0
978,05909991373382,0
979,05909991047818,0
980,05909990366514,0
981,05909990015412,0
982,08718309680077,0
983,05909997077482,0
984,05909997077499,0
985,05909990244010,0
986,05909990240814,0
988,05909990657476,0
989,05909990657483,0
990,05909991039486,0
991,05909990222216,0
992,05909990222230,0
993,05909990046171,0
994,05909990046188,0
995,05909990037773,0
996,05909990086788,0
997,05909991302108,0
998,05909990641253,0
999,05909990641260,0
1001,05909990887453,0
1002,05909990641222,0
1003,05909990925339,0
1004,05909990975884,0
1005,05909990774869,0
1006,05909990774852,0
1007,05909990761647,0
1008,05909991032838,0
1009,05909991032852,0
1010,05909990969364,0
1011,05909990969654,0
1012,05909990969678,0
1013,05909990964574,0
1014,05909990964611,0
1015,05909991359454,0
1016,08901175035427,0
1017,05909991359478,0
1018,05909990975921,0
1019,05909990979981,0
1020,05902020241669,0
1021,05909990981458,0
1022,05909990981359,0
1023,05909990981373,0
1024,05909990994533,0
1025,05909990994540,0
1026,05909990068548,0
1028,05909990068579,0
1030,05909990068494,0
1032,05909991389178,0
1033,05909991389208,0
1034,05909991397524,0
1035,05909991397258,0
1036,05909991297763,0
1037,05909991393984,0
1038,05909991397319,0
1039,05909991297480,0
1040,05909991297879,0
1041,05909991297633,0
1042,05904374007854,0
1043,05900411007351,0
1044,05900411007276,0
1045,05904374007861,0
1046,05900411007313,0
1047,05909990751518,0
1048,05909990751617,0
1049,05909990145317,0
1050,05909990457120,0
1051,05909990457137,0
1052,05909990753024,0
1053,05909990753017,0
1054,05909990074044,0
1055,05909990752010,0
1056,05909991026516,0
1057,05909990033614,0
1058,05909990241910,0
1059,05909990974122,0
1060,05909990161119,0
1061,05909991405120,0
1062,05909991430702,0
1063,05901797710804,0
1064,05909991398569,0
1065,05909991398576,0
1066,05909991396978,0
1067,05909991392871,0
1068,05909990776962,0
1069,05907594032552,0
1070,05909990217045,0
1072,05909990217069,0
1074,05909990482917,0
1075,05909990483310,0
1076,05909990213214,0
1077,05909990112616,0
1078,05909990121120,0
1079,05909990661671,0
1080,05909990661688,0
1081,05909990661695,0
1082,05909991024413,0
1083,05909991024420,0
1084,05907695215380,0
1085,05909991024314,0
1086,05909990770038,0
1087,05909991464141,0
1088,05909990689873,0
1089,05909990689781,0
1090,05909990683666,0
1091,05909990683581,0
1092,05909990851492,0
1093,05909991056018,0
1094,05909991055912,0
1095,05909990814138,0
1096,05909990814077,0
1097,05909990877669,0
1098,05909990877553,0
1099,05909990657360,0
1100,05909990657353,0
1101,05909991403560,0
1102,05909991398842,0
1103,05909990798940,0
1104,05909990798933,0
1105,05909991275778,0
1106,05909991275747,0
1107,05909990993314,0
1108,05909990993215,0
1109,05909990850204,0
1110,05909990850075,0
1111,05909990770045,0
1112,05902020661474,0
1113,05909990375813,0
1114,05909991344306,0
1115,05909991344313,0
1116,05909990942855,0
1117,05900257101015,0
1118,05909990643929,0
1119,05906414000962,0
1120,05909990661329,0
1121,05909991310936,0
1122,05909991310943,0
1123,05909990442423,0
1124,05909991340674,0
1125,05909991340681,0
1126,05909991067267,0
1127,05909991067274,0
1128,05909990866144,0
1129,05909990746705,0
1130,05906414000955,0
1131,05909991311049,0
1132,05909991311056,0
1133,05909991305291,0
1135,05909991305420,0
1137,05909990901890,0
1139,05909990902255,0
1141,05909990902293,0
1143,05909990969517,0
1145,05909990969616,0
1147,05909990969715,0
1149,05909991271367,0
1151,05909990431410,0
1153,05909990431519,0
1155,05909990854318,0
1157,05909990854417,0
1159,05909990854516,0
1161,05909990484911,0
1163,05909991276492,0
1165,05909990485017,0
1167,05908289660289,0
1169,05909991276508,0
1171,05909991325626,0
1172,05909990485116,0
1174,05909990790951,0
1176,05909990884582,0
1178,05909991288945,0
1180,05909990066797,0
1182,05909991149611,0
1184,05909991149710,0
